Skill	Eval	Mode	Overall Result	Time	Total Tokens	Input Tokens	Output Tokens	Assertion #	Assertion Status	Assertion Name	Evidence	Run	Iteration	Workspace_Iteration
co-marketing	eval-5	with_skill	FAIL	20.5s	3744	2433	1310	2	FAIL	Recommends documenting in agreement	No mention of documenting in agreement	5	5	iteration-514
co-marketing	eval-5	with_skill	FAIL	20.5s	3744	2433	1310	3	PASS			5	5	iteration-514
co-marketing	eval-5	with_skill	FAIL	20.5s	3744	2433	1310	4	FAIL	Mentions measuring lead quality not just volume	No mention of measuring lead quality.	5	5	iteration-514
co-marketing	eval-5	with_skill	FAIL	20.5s	3744	2433	1310	5	PASS			5	5	iteration-514
co-marketing	eval-6	with_skill	FAIL	5.2s	2721	1768	952	1	PASS			6	5	iteration-514
co-marketing	eval-6	with_skill	FAIL	5.2s	2721	1768	952	2	PASS			6	5	iteration-514
co-marketing	eval-6	with_skill	FAIL	5.2s	2721	1768	952	3	PASS			6	5	iteration-514
co-marketing	eval-6	with_skill	FAIL	5.2s	2721	1768	952	4	PASS			6	5	iteration-514
co-marketing	eval-1	with_skill	FAIL	14.8s	3448	2241	1206	1	FAIL	Checks for product-marketing.md	No output files were captured.	1	6	iteration-515
co-marketing	eval-1	with_skill	FAIL	14.8s	3448	2241	1206	2	PASS			1	6	iteration-515
co-marketing	eval-1	with_skill	FAIL	14.8s	3448	2241	1206	3	PASS			1	6	iteration-515
co-marketing	eval-1	with_skill	FAIL	14.8s	3448	2241	1206	4	FAIL	Mentions Crossbeam or account overlap data	No mention of Crossbeam or account overlap data.	1	6	iteration-515
co-marketing	eval-1	with_skill	FAIL	14.8s	3448	2241	1206	5	PASS			1	6	iteration-515
co-marketing	eval-1	with_skill	FAIL	14.8s	3448	2241	1206	6	FAIL	Applies scoring criteria	No scoring criteria applied	1	6	iteration-515
co-marketing	eval-2	with_skill	FAIL	11.1s	3269	2124	1144	1	PASS			2	6	iteration-515
co-marketing	eval-2	with_skill	FAIL	11.1s	3269	2124	1144	2	FAIL	Proposes campaigns across multiple types (content, events, integration, community)	Missing community campaign type	2	6	iteration-515
co-marketing	eval-2	with_skill	FAIL	11.1s	3269	2124	1144	3	PASS			2	6	iteration-515
co-marketing	eval-2	with_skill	FAIL	11.1s	3269	2124	1144	4	PASS			2	6	iteration-515
co-marketing	eval-2	with_skill	FAIL	11.1s	3269	2124	1144	5	FAIL	Uses brainstorming prompts	No brainstorming prompts used	2	6	iteration-515
co-marketing	eval-3	with_skill	FAIL	9.4s	3155	2050	1104	1	PASS			3	6	iteration-515
co-marketing	eval-3	with_skill	FAIL	9.4s	3155	2050	1104	2	PASS			3	6	iteration-515
co-marketing	eval-3	with_skill	FAIL	9.4s	3155	2050	1104	3	PASS			3	6	iteration-515
co-marketing	eval-3	with_skill	FAIL	9.4s	3155	2050	1104	4	PASS			3	6	iteration-515
co-marketing	eval-3	with_skill	FAIL	9.4s	3155	2050	1104	5	FAIL	Keeps it short and personal	Email is long and includes meta-analysis	3	6	iteration-515
co-marketing	eval-3	with_skill	FAIL	9.4s	3155	2050	1104	6	PASS			3	6	iteration-515
co-marketing	eval-4	with_skill	FAIL	14.8s	3450	2242	1207	1	PASS			4	6	iteration-515
co-marketing	eval-4	with_skill	FAIL	14.8s	3450	2242	1207	2	FAIL	Includes all 6 scoring dimensions	Only 5 criteria listed in matrix	4	6	iteration-515
co-marketing	eval-4	with_skill	FAIL	14.8s	3450	2242	1207	3	PASS			4	6	iteration-515
co-marketing	eval-4	with_skill	FAIL	14.8s	3450	2242	1207	4	PASS			4	6	iteration-515
co-marketing	eval-4	with_skill	FAIL	14.8s	3450	2242	1207	5	PASS			4	6	iteration-515
co-marketing	eval-5	with_skill	FAIL	18.3s	3711	2412	1298	1	PASS			5	6	iteration-515
co-marketing	eval-5	with_skill	FAIL	18.3s	3711	2412	1298	2	PASS			5	6	iteration-515
co-marketing	eval-5	with_skill	FAIL	18.3s	3711	2412	1298	3	PASS			5	6	iteration-515
co-marketing	eval-5	with_skill	FAIL	18.3s	3711	2412	1298	4	FAIL	Mentions measuring lead quality not just volume	No mention of measuring lead quality.	5	6	iteration-515
co-marketing	eval-5	with_skill	FAIL	18.3s	3711	2412	1298	5	PASS			5	6	iteration-515
co-marketing	eval-6	with_skill	FAIL	9.3s	3055	1985	1069	1	PASS			6	6	iteration-515
co-marketing	eval-6	with_skill	FAIL	9.3s	3055	1985	1069	2	PASS			6	6	iteration-515
co-marketing	eval-6	with_skill	FAIL	9.3s	3055	1985	1069	3	PASS			6	6	iteration-515
co-marketing	eval-6	with_skill	FAIL	9.3s	3055	1985	1069	4	PASS			6	6	iteration-515
co-marketing	eval-1	with_skill	FAIL	16.7s	3546	2304	1241	1	FAIL	Checks for product-marketing.md	No output files were captured.	1	7	iteration-516
co-marketing	eval-1	with_skill	FAIL	16.7s	3546	2304	1241	2	PASS			1	7	iteration-516
co-marketing	eval-1	with_skill	FAIL	16.7s	3546	2304	1241	3	PASS			1	7	iteration-516
co-marketing	eval-1	with_skill	FAIL	16.7s	3546	2304	1241	4	FAIL	Mentions Crossbeam or account overlap data	No mention of Crossbeam or account overlap data	1	7	iteration-516
co-marketing	eval-1	with_skill	FAIL	16.7s	3546	2304	1241	5	PASS			1	7	iteration-516
co-marketing	eval-1	with_skill	FAIL	16.7s	3546	2304	1241	6	FAIL	Applies scoring criteria	No scoring criteria applied	1	7	iteration-516
co-marketing	eval-2	with_skill	FAIL	15.6s	3501	2275	1225	1	PASS			2	7	iteration-516
co-marketing	eval-2	with_skill	FAIL	15.6s	3501	2275	1225	2	PASS			2	7	iteration-516
co-marketing	eval-2	with_skill	FAIL	15.6s	3501	2275	1225	3	PASS			2	7	iteration-516
co-marketing	eval-2	with_skill	FAIL	15.6s	3501	2275	1225	4	PASS			2	7	iteration-516
co-marketing	eval-2	with_skill	FAIL	15.6s	3501	2275	1225	5	FAIL	Uses brainstorming prompts	No brainstorming prompts found	2	7	iteration-516
co-marketing	eval-3	with_skill	FAIL	8.6s	3089	2007	1081	1	PASS			3	7	iteration-516
co-marketing	eval-3	with_skill	FAIL	8.6s	3089	2007	1081	2	PASS			3	7	iteration-516
co-marketing	eval-3	with_skill	FAIL	8.6s	3089	2007	1081	3	PASS			3	7	iteration-516
co-marketing	eval-3	with_skill	FAIL	8.6s	3089	2007	1081	4	PASS			3	7	iteration-516
co-marketing	eval-3	with_skill	FAIL	8.6s	3089	2007	1081	5	FAIL	Keeps it short and personal	Email draft is long and includes strategic notes.	3	7	iteration-516
co-marketing	eval-3	with_skill	FAIL	8.6s	3089	2007	1081	6	PASS			3	7	iteration-516
co-marketing	eval-4	with_skill	FAIL	12.2s	3318	2156	1161	1	PASS			4	7	iteration-516
co-marketing	eval-4	with_skill	FAIL	12.2s	3318	2156	1161	2	FAIL	Includes all 6 scoring dimensions	Only 5 criteria listed in matrix	4	7	iteration-516
co-marketing	eval-4	with_skill	FAIL	12.2s	3318	2156	1161	3	PASS			4	7	iteration-516
co-marketing	eval-4	with_skill	FAIL	12.2s	3318	2156	1161	4	PASS			4	7	iteration-516
co-marketing	eval-4	with_skill	FAIL	12.2s	3318	2156	1161	5	PASS			4	7	iteration-516
co-marketing	eval-5	with_skill	FAIL	23.1s	4101	2665	1435	1	PASS			5	7	iteration-516
co-marketing	eval-5	with_skill	FAIL	23.1s	4101	2665	1435	2	PASS			5	7	iteration-516
co-marketing	eval-5	with_skill	FAIL	23.1s	4101	2665	1435	3	PASS			5	7	iteration-516
co-marketing	eval-5	with_skill	FAIL	23.1s	4101	2665	1435	4	FAIL	Mentions measuring lead quality not just volume	No mention of measuring lead quality	5	7	iteration-516
co-marketing	eval-5	with_skill	FAIL	23.1s	4101	2665	1435	5	PASS			5	7	iteration-516
co-marketing	eval-6	with_skill	FAIL	6.3s	2768	1799	968	1	PASS			6	7	iteration-516
co-marketing	eval-6	with_skill	FAIL	6.3s	2768	1799	968	2	PASS			6	7	iteration-516
co-marketing	eval-6	with_skill	FAIL	6.3s	2768	1799	968	3	PASS			6	7	iteration-516
co-marketing	eval-6	with_skill	FAIL	6.3s	2768	1799	968	4	PASS			6	7	iteration-516
co-marketing	eval-1	with_skill	FAIL	21.1s	3791	2464	1326	1	FAIL	Checks for product-marketing.md	No product-marketing.md file found	1	8	iteration-517
co-marketing	eval-1	with_skill	FAIL	21.1s	3791	2464	1326	2	PASS			1	8	iteration-517
co-marketing	eval-1	with_skill	FAIL	21.1s	3791	2464	1326	3	PASS			1	8	iteration-517
co-marketing	eval-1	with_skill	FAIL	21.1s	3791	2464	1326	4	PASS			1	8	iteration-517
co-marketing	eval-1	with_skill	FAIL	21.1s	3791	2464	1326	5	PASS			1	8	iteration-517
co-marketing	eval-1	with_skill	FAIL	21.1s	3791	2464	1326	6	PASS			1	8	iteration-517
co-marketing	eval-2	with_skill	FAIL	16.2s	3534	2297	1236	1	PASS			2	8	iteration-517
co-marketing	eval-2	with_skill	FAIL	16.2s	3534	2297	1236	2	PASS			2	8	iteration-517
co-marketing	eval-2	with_skill	FAIL	16.2s	3534	2297	1236	3	PASS			2	8	iteration-517
co-marketing	eval-2	with_skill	FAIL	16.2s	3534	2297	1236	4	PASS			2	8	iteration-517
co-marketing	eval-2	with_skill	FAIL	16.2s	3534	2297	1236	5	FAIL	Uses brainstorming prompts	No brainstorming prompts found	2	8	iteration-517
co-marketing	eval-3	with_skill	FAIL	6.1s	2881	1872	1008	1	FAIL	Includes subject with both company names	Subject: Co-marketing idea: [Your Company] + [Their Company]	3	8	iteration-517
co-marketing	eval-3	with_skill	FAIL	6.1s	2881	1872	1008	2	PASS			3	8	iteration-517
co-marketing	eval-3	with_skill	FAIL	6.1s	2881	1872	1008	3	PASS			3	8	iteration-517
co-marketing	eval-3	with_skill	FAIL	6.1s	2881	1872	1008	4	PASS			3	8	iteration-517
co-marketing	eval-3	with_skill	FAIL	6.1s	2881	1872	1008	5	PASS			3	8	iteration-517
co-marketing	eval-3	with_skill	FAIL	6.1s	2881	1872	1008	6	FAIL	Mentions what to prepare for the call	No preparation steps listed for the call.	3	8	iteration-517
co-marketing	eval-4	with_skill	FAIL	13.4s	3346	2174	1171	1	PASS			4	8	iteration-517
co-marketing	eval-4	with_skill	FAIL	13.4s	3346	2174	1171	2	FAIL	Includes all 6 scoring dimensions	Only 5 criteria listed in matrix	4	8	iteration-517
